Name,Status,State,Saved on Papers?,Xray,Optical,Optical Spectra,Radio
GRB000911,ADS Exhausted,Processed,Yes,No,Yes,No,Yes
GRB011121-SN2001ke,ADS Exhausted,Processed,Yes,No,Yes,No,Yes
GRB020305,ADS Exhausted,Processed,Yes,No,Yes,No,No
GRB020405,ADS Exhausted,Processed,Yes,No,Yes,No,No
GRB020410,ADS Exhausted,Processed,Yes,No,Yes,No,No
GRB020903,ADS Exhausted,Processed,Yes,No,Yes,No,Yes
GRB021211-SN2002lt,ADS Exhausted,Processed,Yes,No,Yes,No,Yes
GRB030329-SN2003dh,Mostly Completed,*,Yes,Yes,Yes,No,Yes
GRB030723,ADS Exhausted,Processed,Yes,No,Yes,No,No
GRB030725,ADS Exhausted,Processed,Yes,No,Yes,No,No
GRB031203-SN2003lw,ADS Exhausted,*,Yes,No,Yes,No,No
GRB040924,ADS Exhausted,latex,Yes,No,Yes,Yes,No
GRB041006,ADS Exhausted,Processed,Yes,No,Yes,No,No
GRB050416A,Mostly Completed,Processed,Yes,Yes,Yes,No,Yes
GRB050525A-SN2005nc,ADS Exhausted,Processed,Yes,Yes,Yes,No,Yes
GRB050824,No Downloadables,,No,Yes,No,No,No
GRB060218-SN2006aj,Mostly Completed,Processed,Yes,Yes,Yes,No,Yes
GRB060729,ADS Exhausted,Processed,No,Yes,Yes,No,No
GRB060904B,ADS Exhausted,Processed,Yes,Yes,Yes,No,No
GRB070419A,ADS Exhausted,Processed,No,Yes,Yes,No,No
GRB071112C,ADS Exhausted,Processed,Yes,Yes,Yes,No,No
GRB080319B,Mostly Completed,Processed,Yes,Yes,Yes,No,Yes
GRB081007-SN2008hw,ADS Exhausted,Processed,Yes,Yes,Yes,No,No
GRB090618,Mostly Completed,Processed,Yes,Yes,Yes,No,Yes
GRB091127-SN2009nz,ADS Exhausted,Processed,Yes,Yes,Yes,No,No
GRB100316D-SN2010bh,Mostly Completed,Processed,Yes,Yes,Yes,No,Yes
GRB100418A,Mostly Completed,Processed,No,Yes,Yes,No,Yes
GRB101219B-SN2010ma,ADS Exhausted,Processed,Yes,Yes,Yes,No,No
GRB101225A,ADS Exhausted,Processed,No,Yes,Yes,No,No
GRB111209A-SN2011kl,ADS Exhausted,Processed,Yes,Yes,Yes,No,No
GRB111211A,No ADS Data,,No,Yes,No,No,No
GRB111228A,ADS Exhausted,Processed,No,Yes,Yes,No,No
GRB120422A-SN2012bz,Mostly Completed,Processed,Yes,Yes,Yes,No,Yes
GRB120714B-SN2012eb,ADS Exhausted,Processed,Yes,Yes,Yes,No,No
GRB120729A,ADS Exhausted,Processed,Yes,Yes,Yes,No,No
GRB130215A-SN2013ez,ADS Exhausted,Processed,Yes,No,Yes,No,No
GRB130427A-SN2013cq,Completed,Processed,Yes,Yes,Yes,Yes,Yes
GRB130702A-SN2013dx,Mostly Completed,Processed,Yes,Yes,Yes,No,Yes
GRB130831A-SN2013fu,ADS Exhausted,Processed,Yes,Yes,Yes,No,No
GRB140606B-iPTF14bfu,Mostly Completed,Processed,Yes,Yes,Yes,No,Yes
GRB150518A,No ADS Data,,No,No,No,No,No
GRB150818A,No ADS Data,,No,Yes,No,No,No
GRB161219B-SN2016jca,Completed,Processed,Yes,Yes,Yes,Yes,Yes
GRB171010A-SN2017htp,Completed,Processed,Yes,Yes,Yes,Yes,Yes
GRB171205A-SN2017iuk,Completed,Processed,Yes,Yes,Yes,Yes,Yes
GRB180728A-SN2018fip,No ADS Data,,No,Yes,No,Yes,No
GRB190114C-SN2019jrj,Completed,Processed,Yes,Yes,Yes,Yes,Yes
GRB190829A-AT2019oyw,Completed,Processed,Yes,Yes,Yes,Yes,Yes
GRB200826A,Mostly Completed,Processed,No,Yes,Yes,No,Yes
GRB201015A,New Event,Processed,No,Yes,No,No,No
GRB211023A,New Event,Unprocessed,No,No,No,No,No
GRB220219B,New Event,Unprocessed,No,No,No,No,No
GRB221009A-SN2022xiw,New Event,Unprocessed,No,Yes,No,No,No
SN2023lcr,New Event,Unprocessed,No,No,No,No,No
GRB230812B-SN2023pel,New Event,Unprocessed,No,No,No,No,No
GRB970228,ADS Exhausted,Processed,No,No,Yes,No,Yes
GRB980326,ADS Exhausted,Processed,Yes,No,Yes,No,No
GRB980425-SN1998bw,ADS Exhausted,Processed,No,Yes,Yes,No,No
GRB990712,ADS Exhausted,Processed,No,No,Yes,No,No
GRB991208,ADS Exhausted,Processed,No,No,Yes,No,Yes
SN2020bvc,Mostly Completed,Processed,Yes,Yes,Yes,Yes,No
