col1 col2 col3 col4 col5 col6
138.852 0.74 -0.671 1.0800638700000002e-09 1.6454071500000001e-10 -1.64540343e-10
140.173 0.655 -0.581 1.2522691800000001e-09 1.8667849700000003e-10 -1.86678249e-10
141.415 0.527 -0.587 1.36820732e-09 2.08436653e-10 -2.0843646700000002e-10
142.751 0.664 -0.809 1.05112971e-09 1.56693809e-10 -1.5669371600000003e-10
144.169 0.601 -0.753 1.14367804e-09 1.7049001800000002e-10 -1.7048995600000002e-10
145.557 0.724 -0.788 1.0239256600000001e-09 1.5263826500000003e-10 -1.5263823400000003e-10
147.044 0.574 -0.762 1.14045063e-09 1.73739097e-10 -1.73739066e-10
148.377 0.642 -0.76 1.0860245500000001e-09 1.6544768200000003e-10 -1.6544765100000003e-10
150.062 0.647 -1.042 9.1449504e-10 1.3632513500000002e-10 -1.3632513500000002e-10
151.711 0.839 -1.003 8.385168300000001e-10 1.2499891300000002e-10 -1.2499891300000002e-10
153.349 0.839 -0.799 9.4230824e-10 1.40471261e-10 -1.40471261e-10
155.071 0.831 -0.883 9.012000700000001e-10 1.34343181e-10 -1.3434321200000002e-10
156.779 0.894 -0.878 8.436299700000001e-10 1.31366592e-10 -1.31366623e-10
158.914 1.004 -1.241 6.7329706e-10 1.02571653e-10 -1.02571653e-10
161.212 1.149 -1.294 6.062022100000001e-10 9.2350271e-11 -9.2350271e-11
163.24 1.05 -0.879 7.802331100000001e-10 1.1631045000000001e-10 -1.1631048100000001e-10
165.605 1.484 -1.315 5.2912381e-10 8.0607967e-11 -8.060799800000001e-11
168.27 0.82 -1.181 7.5179774e-10 1.1207154100000001e-10 -1.1207157200000001e-10
170.377 1.094 -1.287 6.219945400000001e-10 9.475611900000002e-11 -9.475611900000002e-11
172.909 1.737 -1.438 4.6620838e-10 7.1023294e-11 -7.102332500000002e-11
176.58 1.548 -1.934 4.3210776e-10 6.441490000000001e-11 -6.441493100000001e-11
180.073 2.016 -1.946 3.7971993e-10 5.660538e-11 -5.660538e-11
183.876 1.665 -1.787 4.3589565e-10 6.4979565e-11 -6.4979565e-11
186.864 1.339 -1.323 5.6526826e-10 8.426531600000001e-11 -8.4265347e-11
190.236 1.829 -2.033 2.61851761e-10 4.780742500000001e-11 -4.780742500000001e-11
194.247 2.355 -2.181 3.3995809000000006e-10 5.067802500000001e-11 -5.0678056e-11
199.019 2.008 -2.417 3.4857051000000007e-10 5.1961890000000006e-11 -5.1961921000000005e-11
202.676 2.368 -1.649 2.51854354e-10 4.5982145e-11 -4.5982145e-11
207.357 1.837 -2.313 2.3023492300000002e-10 4.4890263e-11 -4.489029400000001e-11
211.082 1.703 -1.887 2.7952129600000006e-10 5.1033440000000006e-11 -5.1033440000000006e-11
214.706 2.922 -1.921 2.0233337300000002e-10 3.8166177e-11 -3.8166177e-11
219.525 1.777 -1.897 2.53662863e-10 5.1147148e-11 -5.1147148e-11
242.441 8.013 -14.553 8.066894400000002e-11 1.65927066e-11 -1.65927066e-11
255.814 9.683 -5.361 9.939728400000001e-11 2.2293206700000004e-11 -2.2293206700000004e-11
273.405 7.136 -7.908 1.0457137000000002e-10 2.28521987e-11 -2.28521987e-11
289.909 8.183 -9.368 8.505194100000001e-11 1.90469425e-11 -1.90469425e-11
303.329 9.807 -5.237 9.921094300000001e-11 2.2184238600000002e-11 -2.2184238600000002e-11
325.965 12.244 -12.829 6.1458895e-11 1.3763404800000002e-11 -1.3763404800000002e-11
360.772 15.047 -22.563 4.0516566e-11 9.100992400000002e-12 -9.100992400000002e-12
391.386 24.549 -15.568 3.7280569000000005e-11 8.361428500000001e-12 -8.361428500000001e-12
434.869 18.676 -18.933 4.2503201e-11 9.301705000000002e-12 -9.301705000000002e-12
476.094 17.568 -22.549 4.1465786000000004e-11 8.8770825e-12 -8.8770825e-12
518.705 20.089 -25.043 3.849353700000001e-11 8.0688195e-12 -8.0688195e-12
572.761 28.715 -33.967 2.3959112600000002e-11 5.3899638e-12 -5.3899638e-12
652.852 58.946 -51.376 1.3607828200000002e-11 3.0752942400000007e-12 -3.0752942400000007e-12
760.682 58.93 -48.884 1.47865567e-11 3.2406687000000002e-12 -3.2406687000000002e-12
862.816 44.552 -43.204 1.71145079e-11 3.8443286e-12 -3.8443286e-12
1029.452 106.081 -122.084 9.3585125e-12 1.5743368600000002e-12 -1.5743368600000002e-12
4803.715 179.113 -212.027 1.5056789900000002e-12 3.9257315000000006e-13 -3.9257315000000006e-13
5288.412 273.604 -305.585 1.01615954e-12 2.65215044e-13 -2.65215044e-13
5782.045 263.882 -220.029 1.2215007500000002e-12 3.1733460000000005e-13 -3.1733460000000005e-13
6506.484 411.979 -460.556 1.2651605300000002e-12 2.4060665500000005e-13 -2.4060665500000005e-13
10846.795 426.785 -477.671 6.510539400000001e-13 1.7044413800000003e-13 -1.7044413800000003e-13
11936.921 765.816 -663.342 5.155169800000001e-13 1.2064344400000001e-13 -1.2064344400000001e-13
17561.932 926.052 -1207.66 3.60034e-13 8.271900500000001e-14 -8.271900500000001e-14
29994.841 22071.029 -7642.29 1.7360120900000002e-13 3.9329111000000004e-14 -3.9329111000000004e-14
83224.676 14744.364 -3305.782 5.9286043e-14 3.7700402e-14 -2.68213736e-14
