col1 col2 col3 col4 col5 col6
95.13 33.702 -18.952 4.1446892400000006e-11 9.286355800000001e-12 -9.286355800000001e-12
136.317 5.051 -7.486 1.7640747000000001e-10 3.9485342e-11 -3.9485342e-11
150.428 10.999 -9.06 1.0947452600000001e-10 2.46020972e-11 -2.46020972e-11
175.495 13.512 -14.069 8.0151918e-11 1.75239208e-11 -1.75239208e-11
198.748 7.81 -9.741 1.29745484e-10 2.7712157200000002e-11 -2.7712157200000002e-11
227.584 21.598 -21.026 4.8640262e-11 1.09308742e-11 -1.09308742e-11
280.647 61.306 -31.465 2.21624412e-11 4.9855490000000005e-12 -4.9855490000000005e-12
403.044 59.26 -61.091 1.37877272e-11 3.0985733400000004e-12 -3.0985733400000004e-12
544.485 75.781 -82.18 6.955342600000001e-12 1.5632488200000001e-12 -1.5632488200000001e-12
767.467 103.53 -147.201 3.25787962e-12 8.539775800000001e-13 -8.539775800000001e-13
977.665 116.483 -106.668 4.9074594e-12 1.1063851e-12 -1.1063851e-12
1245.054 170.031 -150.905 2.5298100200000003e-12 6.6774704e-13 -6.6774704e-13
1637.256 231.652 -222.172 1.7791663800000002e-12 4.7224336e-13 -4.7224336e-13
1992.621 106.959 -123.713 3.5571459600000002e-12 9.2729376e-13 -9.2729376e-13
2270.257 175.322 -170.677 2.68484612e-12 6.5909306e-13 -6.5909306e-13
6808.609 1411.343 -963.07 4.769717e-13 1.0909640600000001e-13 -1.0909640600000001e-13
15664.765 21426.889 -4044.609 9.451808600000001e-14 2.2860091e-14 -2.2860091e-14
101775.462 107248.369 -42479.424 2.60797e-14 0.0 0.0
