col1 col2 col3 col4 col5 col6
134.363 46.566 -28.654 8.58538032e-11 1.93442264e-11 -1.93442264e-11
258.008 163.621 -77.08 9.88353872e-12 2.2866684e-12 -2.2866684e-12
3793.116 214.481 -141.558 3.1941971679999997e-12 8.494839199999999e-13 -8.494839199999999e-13
4249.671 201.722 -242.074 2.5661099679999997e-12 6.84817424e-13 -6.84817424e-13
4593.282 103.828 -141.889 4.739847968e-12 1.24120776e-12 -1.24120776e-12
4935.624 192.746 -238.513 2.662329424e-12 7.05999008e-13 -7.05999008e-13
5354.252 185.318 -225.882 2.81629328e-12 7.4425824e-13 -7.4425824e-13
5839.037 322.328 -299.467 2.191680912e-12 5.363644272e-13 -5.363644272e-13
9682.482 275.414 -288.733 2.377050768e-12 6.305789503999999e-13 -6.305789503999999e-13
10497.064 431.164 -539.168 9.9511264e-13 3.649362112e-13 -3.649362112e-13
11423.992 468.97 -495.764 1.7474285279999998e-12 5.529427936e-13 -5.529427936e-13
70734.691 4288.338 -3626.474 3.1278736e-13 8.485963520000001e-14 -8.485963520000001e-14
79468.592 376.395 -468.565 4.094838592e-13 2.660207264e-13 -1.89256328e-13
