col1 col2 col3 col4 col5 col6
99.902 0.285 -0.348 4.53295285e-09 5.6138269e-10 -5.61425745e-10
100.478 0.274 -0.29 3.40197858e-09 5.1753927e-10 -5.1756297e-10
101.02 0.319 -0.268 3.857894295e-09 5.39131155e-10 -5.39157225e-10
101.596 0.258 -0.258 3.631860285e-09 5.80387325e-10 -5.804031249999999e-10
102.089 0.291 -0.234 3.794234515e-09 5.594306e-10 -5.59446005e-10
102.638 0.259 -0.258 3.929979425e-09 5.732477000000001e-10 -5.73263105e-10
103.137 0.299 -0.24 3.559155795e-09 5.41449805e-10 -5.4146442e-10
103.734 0.267 -0.297 3.4539909949999996e-09 5.14891585e-10 -5.14905015e-10
104.263 0.291 -0.263 3.52072664e-09 5.2483966e-10 -5.24852695e-10
104.882 0.433 -0.329 2.5583087449999997e-09 3.8137072249999996e-10 -3.81378109e-10
105.601 0.326 -0.286 3.18303719e-09 4.7450007e-10 -4.74509945e-10
106.329 0.462 -0.402 2.25301759e-09 3.35860521e-10 -3.3586707800000003e-10
107.401 0.431 -0.61 1.87170908e-09 2.79018283e-10 -2.790226675e-10
108.429 0.491 -0.596 1.792079055e-09 2.671477035e-10 -2.6715102149999996e-10
109.382 0.352 -0.463 2.31856152e-09 3.600191555e-10 -3.6002247349999996e-10
110.154 0.39 -0.419 2.3696504249999997e-09 3.5324703850000003e-10 -3.5325106750000005e-10
111.146 0.506 -0.602 1.6575831349999998e-09 2.5738444899999997e-10 -2.5738674e-10
112.048 0.504 -0.396 2.0725401149999997e-09 3.15292555e-10 -3.1529488549999997e-10
113.162 0.696 -0.61 1.450645795e-09 2.162497415e-10 -2.1625151899999998e-10
114.524 0.48 -0.666 1.65338942e-09 2.46472969e-10 -2.464745885e-10
115.586 0.923 -0.582 1.220652305e-09 1.895391305e-10 -1.8954019699999998e-10
117.233 0.739 -0.723 1.27580023e-09 1.9408562e-10 -1.94086568e-10
118.746 0.667 -0.774 1.314535905e-09 1.9595961849999998e-10 -1.95960606e-10
120.226 0.809 -0.813 1.172491535e-09 1.7478485350000002e-10 -1.74785683e-10
122.014 0.763 -0.979 1.09682336e-09 1.6685815149999998e-10 -1.668587835e-10
123.575 1.099 -0.797 9.91854085e-10 1.5401207999999998e-10 -1.5401247499999998e-10
125.753 0.852 -1.08 9.88754125e-10 1.504176985e-10 -1.5041817249999998e-10
127.755 1.109 -1.149 8.5912263e-10 1.28070534e-10 -1.280708895e-10
129.707 0.735 -0.843 1.2105786199999998e-09 1.8416353599999999e-10 -1.8416401e-10
131.27 0.758 -0.829 1.2099087e-09 1.80362688e-10 -1.8036312250000001e-10
132.68 0.805 -0.652 1.278050545e-09 1.9442796650000002e-10 -1.944284405e-10
134.349 0.86 -0.864 1.09676253e-09 1.6349587199999997e-10 -1.634963065e-10
136.006 0.606 -0.796 1.3486824699999998e-09 2.0104990449999999e-10 -2.0105037850000001e-10
137.516 0.764 -0.905 1.133004175e-09 1.688984055e-10 -1.6889884e-10
139.351 1.03 -1.071 8.727232699999999e-10 1.35513756e-10 -1.35514072e-10
141.091 0.694 -0.71 1.326645815e-09 2.01820668e-10 -2.01821142e-10
142.425 0.586 -0.64 1.5425413599999998e-09 2.299486575e-10 -2.2994928949999999e-10
143.671 0.593 -0.66 1.509668275e-09 2.2504824799999998e-10 -2.2504888000000001e-10
144.912 0.554 -0.649 1.5484703099999999e-09 2.35566545e-10 -2.35567098e-10
145.948 0.559 -0.482 1.8167562850000001e-09 2.7082622e-10 -2.708268915e-10
147.161 0.622 -0.654 1.482319265e-09 2.2097129500000002e-10 -2.20971848e-10
148.21 0.536 -0.427 1.93493515e-09 2.9435889800000003e-10 -2.94359767e-10
149.484 0.857 -0.739 1.16696351e-09 1.77528484e-10 -1.77529116e-10
151.006 0.796 -0.665 1.25545931e-09 1.94943876e-10 -1.949445475e-10
152.358 0.726 -0.557 1.45215114e-09 2.2091362499999998e-10 -2.20914336e-10
153.821 0.649 -0.737 1.3659179e-09 2.03619182e-10 -2.036200115e-10
155.129 0.639 -0.658 1.45961901e-09 2.175873695e-10 -2.175883175e-10
156.763 0.65 -0.996 1.11561509e-09 1.7322926450000002e-10 -1.73230094e-10
158.064 0.452 -0.651 1.71625762e-09 2.55844818e-10 -2.558459635e-10
159.179 0.551 -0.663 1.5601903549999998e-09 2.3257967349999997e-10 -2.32580898e-10
160.307 0.506 -0.577 1.74720824e-09 2.604586945e-10 -2.60460077e-10
161.209 0.383 -0.396 2.429297005e-09 3.62138528e-10 -3.621403055e-10
162.109 0.518 -0.517 1.800742985e-09 2.739443895e-10 -2.7394577200000004e-10
163.044 0.396 -0.417 2.3283385599999996e-09 3.4708851449999997e-10 -3.47090292e-10
163.761 0.398 -0.32 2.6353388799999997e-09 3.9285349099999997e-10 -3.928552685e-10
164.418 0.323 -0.258 3.2558917799999997e-09 4.853601999999999e-10 -4.8536257e-10
165.004 0.293 -0.262 3.36093966e-09 5.11294715e-10 -5.11297875e-10
165.572 0.329 -0.276 3.7327867349999995e-09 5.2038011e-10 -5.20383665e-10
166.238 0.263 -0.336 3.13420571e-09 4.809204e-10 -4.80923165e-10
166.799 0.258 -0.298 3.40158595e-09 5.0707888e-10 -5.0708125e-10
167.402 0.324 -0.345 2.831652695e-09 4.2211833000000004e-10 -4.22120305e-10
168.037 0.323 -0.31 2.9906690299999996e-09 4.4582307e-10 -4.4582544e-10
168.672 0.307 -0.313 3.0594156199999997e-09 4.56071345e-10 -4.56073715e-10
169.315 0.277 -0.336 3.03945864e-09 4.6238857999999997e-10 -4.6239095e-10
169.952 0.317 -0.359 2.75956559e-09 4.1980876499999995e-10 -4.1981192499999996e-10
170.624 0.351 -0.355 2.681734395e-09 3.9976962499999994e-10 -3.99772785e-10
171.253 0.267 -0.278 3.47947126e-09 5.1868951e-10 -5.18693065e-10
171.852 0.382 -0.333 2.608572495e-09 3.9683833e-10 -3.9684069999999996e-10
172.622 0.33 -0.387 2.6418816600000003e-09 3.93828825e-10 -3.9383139249999997e-10
173.382 0.385 -0.43 2.3246223999999997e-09 3.46534606e-10 -3.46537529e-10
174.16 0.3 -0.394 2.7298758100000002e-09 4.0694638000000003e-10 -4.0694993500000005e-10
174.858 0.334 -0.397 2.59035549e-09 3.861477735e-10 -3.8615077549999997e-10
175.525 0.325 -0.333 2.790564005e-09 4.3331026e-10 -4.3331262999999996e-10
176.273 0.588 -0.423 1.817825155e-09 2.822663285e-10 -2.8226838250000003e-10
177.383 0.38 -0.522 2.06824291e-09 3.1463879049999997e-10 -3.14640884e-10
178.075 0.302 -0.312 3.085905505e-09 4.6002015999999997e-10 -4.6002292500000003e-10
178.814 0.384 -0.438 2.234864575e-09 3.470229445e-10 -3.47024959e-10
179.693 0.482 -0.494 1.9530613049999998e-09 2.93738906e-10 -2.93740723e-10
180.686 0.34 -0.51 2.19369807e-09 3.337241635e-10 -3.3372728399999995e-10
181.561 0.466 -0.535 1.89105776e-09 2.819025335e-10 -2.819052195e-10
182.54 0.528 -0.513 1.819891795e-09 2.712937025e-10 -2.712956775e-10
183.533 0.453 -0.465 2.063248925e-09 3.075712925e-10 -3.0757358350000003e-10
184.637 0.52 -0.651 1.6359063249999999e-09 2.43866759e-10 -2.4386901049999996e-10
185.943 0.633 -0.786 1.30716481e-09 2.07212892e-10 -2.0721447200000002e-10
187.214 0.695 -0.637 1.4367015050000002e-09 2.1856337499999998e-10 -2.1856535e-10
188.755 0.94 -0.846 1.088206435e-09 1.6222041699999999e-10 -1.6222199700000002e-10
190.554 0.954 -0.859 1.0560226249999998e-09 1.6065124e-10 -1.6065270149999998e-10
192.138 0.832 -0.63 1.2890516899999999e-09 2.001600485e-10 -2.0016214199999997e-10
193.802 0.803 -0.832 1.1888567799999999e-09 1.7722449200000002e-10 -1.77226546e-10
195.664 1.048 -1.059 9.1006341e-10 1.35664409e-10 -1.3566602849999999e-10
197.731 1.243 -1.019 8.26430455e-10 1.2572372049999998e-10 -1.257253005e-10
199.676 0.954 -0.703 1.145536735e-09 1.707667555e-10 -1.70769165e-10
201.848 1.344 -1.218 7.406226299999999e-10 1.104056205e-10 -1.10407082e-10
204.116 1.088 -0.924 9.42957825e-10 1.40568018e-10 -1.405700325e-10
206.248 1.023 -1.044 9.180858599999999e-10 1.36860311e-10 -1.36862365e-10
208.472 1.165 -1.201 8.022880549999999e-10 1.195982185e-10 -1.19599996e-10
