"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"93216","SN 2021aabp","23:09:55.089","+09:41:08.90","SN Ic-BL","0.07","SDSS J230955.65+094116.2","","ALeRCE, ATLAS","ZTF, ATLAS","ePESSTO+","ALeRCE; ATLAS","ZTF21acekmmm","ATLAS1 - ACAM1, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.547","g-ZTF","2021-09-30 06:08:45.001","ALeRCE","",""
"92359","SN 2021ywf","05:14:10.989","+01:52:52.28","SN Ic-BL","0.02825","","","AMPEL, Fink, ATLAS","ZTF, ATLAS","ZTF","AMPEL; ATLAS; Fink","ZTF21acbnfos","ATLAS1 - ACAM1, P48 - ZTF-Cam","P200 - DBSP","1","1","","20.03","r-ZTF","2021-09-12 11:10:58.080","ZTF_AMPEL_NEW","",""
"91007","SN 2021wwm","21:10:21.934","-42:04:22.23","SN Ic-BL","0.04","","","ATLAS, MASTER","ATLAS, MASTER","ePESSTO+","ATLAS; MASTER","ATLAS21bgss","ATLAS1 - ACAM1, Other - Other","ESO-NTT - EFOSC2-NTT","1","1","","18.021","orange-ATLAS","2021-08-25 09:54:43.200","ATLAS_Bot1","",""
"89317","SN 2021ukr","13:38:43.680","-15:38:17.30","SN Ic-BL","0.04","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","ePESSTO+","ATLAS; GaiaAlerts","ATLAS21bcqe","ATLAS1 - ACAM1, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.344","orange-ATLAS","2021-07-31 06:07:12.000","ATLAS_Bot1","",""
"89111","SN 2021ucw","14:14:14.012","-40:15:59.36","SN Ic-BL","0.04","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS21bchp","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","18.729","orange-ATLAS","2021-07-26 06:10:04.800","ATLAS_Bot1","",""
"88735","SN 2021too","21:40:54.285","+10:19:30.55","SN Ic-BL","0.07","","","YSE, ALeRCE, ATLAS, AMPEL, Pan-STARRS1","Pan-STARRS1, ZTF, ATLAS","ePESSTO+","ALeRCE; AMPEL; ATLAS; Pan-STARRS1; YSE","PS21iap","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.5","i-Sloan","2021-07-17 14:22:33.600","YSE_Bot1","",""
"86538","SN 2021qjv","15:10:47.072","+49:12:18.05","SN Ic-BL","0.03803","","","ZTF, Pan-STARRS1, AMPEL, ATLAS","ZTF, Pan-STARRS1, ATLAS","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF20abcjdwu","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Keck1 - LRIS","1","1","","19.6777","g-ZTF","2021-06-16 06:55:17.760","ZTF_CLU_PUBLIC","",""
"85394","SN 2021otc","15:17:00.578","+22:05:47.31","SN Ic-BL","0.4","","","ALeRCE, ATLAS","ZTF, ATLAS","REFITT","ATLAS; ZTF","ZTF21abeafwt","ATLAS1 - ACAM1, P48 - ZTF-Cam","SOAR - Goodman","1","1","","20.7654","r-ZTF","2021-06-04 07:39:24.002","ALeRCE","",""
"84273","SN 2021ncn","22:36:32.927","+25:45:40.58","SN Ic-BL","0.024617","IC 5233","0.024617","ALeRCE","ZTF","ZTF","ZTF","ZTF21abchjer","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.5843","r-ZTF","2021-05-23 11:09:53.004","ALeRCE","",""
"82660","SN 2021ktv","11:03:03.883","+08:51:39.74","SN Ic-BL","0.06","","","ATLAS, ALeRCE, Fink","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS21nqw","ATLAS1 - ACAM1, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.501","orange-ATLAS","2021-05-01 07:42:14.400","ATLAS_Bot1","",""
