GRB,SNe,"E$_{\gamma,  iso}$ [ergs]",E$_p$ [keV],z,T$_{90}}$ [sec],E$_k$ [erg],M$_{Ni}$ [M$_\odot$],M$_{Ej}$ [M$_\odot$],Event Type,Refs.
970228,,10.6,195,0.695,56,,,,Photometric SN,"\cite{1999ApJ...521L.111R},  \cite{2000ApJ...536..185G},  \cite{2017AdAst2017E...5C}"
980326,,40.08,935,,,,,,Photometric SN,\cite{2017AdAst2017E...5C}
980425,1998bw,"10.0,  86e-06",55,"0.0085, 0.00867","30, 18","50.0,  20.5","0.43, 0.45",8,Spectroscopic SN,"\cite{2017AdAst2017E...5C},  \cite{2019MNRAS.487.5824A}"
990712,,60.07,93,0.4331,19,20.61,0.14,6.6,Photometric SN,\cite{2017AdAst2017E...5C}
991208,,22.3,313,0.7063,60,30.87,0.96,9.7,Photometric SN,\cite{2017AdAst2017E...5C}
000911,,67,1859,1.0585,500,,,,Photometric SN,\cite{2017AdAst2017E...5C}
011121,2001ke,70.8,793,"0.362, 0.362",47,10.77,0.35,4.4,Spectroscopic SN,"\cite{2003ApJ...582..924G},  \cite{2017AdAst2017E...5C}"
020305,,,,,280,,,,Photometric SN,\cite{2005A&A...437..411G}
020405,,10,612,0.68986,40,80.09,0.23,2.2,Photometric SN,\cite{2017AdAst2017E...5C}
020410,,,,,>1600,,,,Photometric SN,\cite{2017AdAst2017E...5C}
020903,,10,3.37,0.2506,3.3,20.89,0.25,7.3,Photometric SN,\cite{2017AdAst2017E...5C}
021211,2002lt,10.12,127,1.004,2.8,20.85,0.16,7.2,Spectroscopic SN,\cite{2017AdAst2017E...5C}
030329,2003dh,"10.5,  10.5",100,"0.1685, 0.16867","23, 22.76","40.0,  30.5","0.4, 0.5",7.5,Spectroscopic SN,"\cite{2017AdAst2017E...5C},  \cite{2019MNRAS.487.5824A}"
030723,,,<0.0023,,,,,,Photometric SN,\cite{2017AdAst2017E...5C}
030725,,,,,>160,,,,Photometric SN,\cite{2005A&A...439..527P}
031203,2003lw,"10,  80",<200,"0.1055, 0.10536","40, 37","60.0,  60.0","0.6, 0.55",13,Spectroscopic SN,"\cite{2017AdAst2017E...5C},  \cite{2019MNRAS.487.5824A}"
040924,,90.05,102,0.858,2.39,,,,Photometric SN,\cite{2017AdAst2017E...5C}
041006,,30,98,0.716,18,70.64,0.69,19.2,Photometric SN,\cite{2017AdAst2017E...5C}
050416A,,10,25.1,0.6528,2.4,,,,Photometric SN,\cite{2017AdAst2017E...5C}
050525A,2005nc,20.5,127,"0.606, 0.606","8.8, 8.84",10.89,0.24,4.8,Spectroscopic SN,"\cite{2006ApJ...642L.103D},  \cite{2017AdAst2017E...5C}"
050824,,20,21.5,0.8281,25,50.07,0.26,1.4,Photometric SN,\cite{2017AdAst2017E...5C}
060218,2006aj,"50,  50",4.9,"0.0335, 0.03342","2000,  2100","20.0,  10.0","0.2, 0.2",2,Spectroscopic SN,"\cite{2017AdAst2017E...5C},  \cite{2019MNRAS.487.5824A}"
060729,,10.6,>50,0.5428,115,20.44,0.36,6.1,Photometric SN,\cite{2017AdAst2017E...5C}
060904B,,20.4,163,0.7029,192,90.09,0.12,2.5,Photometric SN,\cite{2017AdAst2017E...5C}
070419A,,10.06,,0.9705,116,,,,Photometric SN,\cite{2017AdAst2017E...5C}
071112C,,10.91,,0.823,15,,,,Photometric SN,\cite{2019A&A...622A.138K}
080319B,,114,1261,0.9371,124.86,20.27,0.86,5.7,Photometric SN,\cite{2017AdAst2017E...5C}
081007,2008hw,10.05,61,"0.5295, 0.5295","10, 9.01","10.9,  10.9","0.39, 0.39","2.3, 2.3",Spectroscopic SN,"\cite{2017AdAst2017E...5C},  \cite{2015A&A...577A..44O}"
090618,,25.7,211,0.54,113.34,30.65,0.37,9.2,Photometric SN,\cite{2017AdAst2017E...5C}
091127,2009nz,10.5,35.5,"0.49, 0.49044","7.1, 7.42","10.1,  10.35","0.5, 0.33","2.4, 4.7",Spectroscopic SN,"\cite{2017AdAst2017E...5C},  \cite{2015A&A...577A..44O}"
100316D,2010bh,"70.0,  >0.0059",26,"0.059, 0.0592",">1300, 1300","10.0,  10.54","0.12, 0.12",2.5,Spectroscopic SN,"\cite{2017AdAst2017E...5C},  \cite{2019MNRAS.487.5824A}"
100418A,,90,29,0.6239,8,,,,Photometric SN,\cite{2017AdAst2017E...5C}
101219B,2010ma,40.02,70,"0.55185, 0.55185","34, 51","10.0,  10.0",0.43,1.3,Spectroscopic SN,"\cite{2017AdAst2017E...5C},  \cite{2015A&A...577A..44O}"
101225A,,10.2,38,0.847,7000,30.2,0.41,8.1,Photometric SN,\cite{2017AdAst2017E...5C}
111209A,2011kl,"58.2,  58.2",520,"0.677, 0.67702","25000,  10000","30.43,  50.5",2.27,"6.79, 4",Spectroscopic SN,"\cite{2013ApJ...766...30G},  \cite{2019A&A...624A.143K},  \cite{2017AdAst2017E...5C}"
111211A,,,,0.478,,,,,Photometric SN,\cite{2017AdAst2017E...5C}
111228A,,"40.07,  40.2",58.4,"0.7163, 0.71627","101.2, 101.2",,,,Photometric SN,"\cite{2019A&A...622A.138K},  \cite{2017AdAst2017E...5C}"
120422A,2012bz,"20.004,  20.004",<72,"0.283, 0.28253","5, 5.4","40.0,  20.55","0.3, 0.57",6.1,Spectroscopic SN,"\cite{2017AdAst2017E...5C},  \cite{2019MNRAS.487.5824A}"
120714B,2012eb,"50.0075,  50.0094",101.4,"0.3984, 0.3984",159159,,,,Spectroscopic SN,"\cite{2019A&A...622A.138K},  \cite{2017AdAst2017E...5C}"
120729A,,"20.3,  20.3",310.6,"0.8, 0.8","71.5, 71.5",,"0.42, 0.42",,Photometric SN,"\cite{2017AdAst2017E...5C},  \cite{2014A&A...568A..19C}"
130215A,2013ez,"30.1,  30.1",155,"0.597, 0.597","65.7, 65.7",,"0.275, 0.275",,Spectroscopic SN,"\cite{2017AdAst2017E...5C},  \cite{2014A&A...568A..19C}"
130427A,2013cq,"81.0,  96.1,  81.0","1250, 1028","0.3399, 0.3399, 0.3399",160163,"60.4,  60.39,  60.4","0.4, 0.28, 0.28","6.27, 6.3",Spectroscopic SN,"\cite{2016MNRAS.462.1111D},  \cite{2014A&A...567A..29M},  \cite{2013ApJ...776...98X},  \cite{2017AdAst2017E...5C},  \cite{2019MNRAS.487.5824A}"
130702A,2013dx,"60.004,  60.004",,"0.145, 0.145","59, 58.881","80.02,  80.02","0.37, 0.37","3.1, 3.1",Spectroscopic SN,"\cite{2016ApJ...818...79T},  \cite{2017AdAst2017E...5C},  \cite{2019MNRAS.487.5824A}"
130831A,2013fu,"40.06,  70.024",67,"0.479, 0.479, 0.4791","32.5, 32.5",10.87,"0.3, 0.3",4.7,Spectroscopic SN,"\cite{2014A&A...568A..19C},  \cite{2017AdAst2017E...5C},  \cite{2019A&A...622A.138K}"
140606B,,30.047,801,0.384,22.78,10.9,0.42,4.8,Photometric SN,\cite{2017AdAst2017E...5C}
150518A,,,,0.256,,,,,Photometric SN,\cite{2017AdAst2017E...5C}
150818A,,10,128,0.282,123.3,,,,Photometric SN,\cite{2017AdAst2017E...5C}
161219B,2016jca,10,,0.1475,7,40,0.27,6.5,Spectroscopic SN,\cite{2019MNRAS.487.5824A}
171010A,2017htp,20,230,0.33,160,80.01,0.33,4.1,Spectroscopic SN,\cite{2019MNRAS.490.5366M}
171205A,2017iuk,60,,0.037,189.4,"10.04,  90.0",,1.1,Spectroscopic SN,\cite{2018ApJ...867..147W}
180728A,2018fip,,,,,,,,Spectroscopic SN,
190114C,2019jrj,30,,0.4245,"361.5, 362",,,,Spectroscopic SN,\cite{2021arXiv211204759M}
190829A,AT2019oyw,,,0.0785,58.2,10.36,0.5,5.67,Spectroscopic SN,\cite{2021A&A...646A..50H}
,2020bvc,,,0.0252,,70.01,0.13,2.2,Spectroscopic SN,"\cite{2020A&A...639L..11I},  \cite{2020ApJ...902...86H}"
200826A,,,,0.71,0.65,60,,,Photometric SN,\cite{2021NatAs.tmp..142A}
201015A,,,,,,,,,Photometric SN,
211023A,,,,,,,,,Photometric SN,
220219B,,,,,,,,,Photometric SN,
